"car_ID","symboling","CarName","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","price","hp_to_weight","segment","CarBrand","BrandAvgPrice"
"22",1,"dodge rampage","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.41,68,5500,37,5572,0.0362473347547974,"Economy","dodge",7875.44444444444
"23",1,"dodge challenger se","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,6377,0.0362473347547974,"Economy","dodge",7875.44444444444
"24",1,"dodge d200","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"mpfi",3.03,3.39,7.6,102,5500,24,7957,0.0479323308270677,"Economy","dodge",7875.44444444444
"25",1,"dodge monaco (sw)","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,6229,0.0345704117946111,"Economy","dodge",7875.44444444444
"26",1,"dodge colt hardtop","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,6692,0.0341880341880342,"Economy","dodge",7875.44444444444
"27",1,"dodge colt (sw)","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,7609,0.0341880341880342,"Economy","dodge",7875.44444444444
"28",1,"dodge coronet custom","gas","turbo","two","sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc","four",98,"mpfi",3.03,3.39,7.6,102,5500,24,8558,0.046554084892743,"Standard","dodge",7875.44444444444
"29",-1,"dodge dart custom","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.34,3.46,8.5,88,5000,24,8921,0.0347140039447732,"Standard","dodge",7875.44444444444
"30",3,"dodge coronet custom (sw)","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc","four",156,"mfi",3.6,3.86,7.4,145,5000,19,12964,0.0515830665243686,"Standard","dodge",7875.44444444444
"31",2,"honda civic","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","four",92,"1bbl",2.91,3.41,9.6,58,4800,46.5,6479,0.0338587273788675,"Economy","honda",8184.69230769231
"32",2,"honda civic cvcc","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,31,6855,0.0417811984606927,"Economy","honda",8184.69230769231
"33",1,"honda civic","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl",2.91,3.07,10.1,60,5500,38,5399,0.0326619488296135,"Economy","honda",8184.69230769231
"34",1,"honda accord cvcc","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,6529,0.0391752577319588,"Economy","honda",8184.69230769231
"35",1,"honda civic cvcc","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,7129,0.0388548057259714,"Economy","honda",8184.69230769231
"36",0,"honda accord lx","gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,7295,0.0378109452736318,"Economy","honda",8184.69230769231
"37",0,"honda civic 1500 gl","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl",2.92,3.41,9.2,76,6000,30,7295,0.0375494071146245,"Economy","honda",8184.69230769231
"38",0,"honda accord","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","four",217,"1bbl",3.15,3.58,9,86,5800,27,7895,0.0384615384615385,"Economy","honda",8184.69230769231
"39",0,"honda civic 1300","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,9095,0.0375709916994321,"Standard","honda",8184.69230769231
"40",0,"honda prelude","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,8845,0.0373263888888889,"Standard","honda",8184.69230769231
"41",0,"honda accord","gas","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,10295,0.036256323777403,"Standard","honda",8184.69230769231
"42",0,"honda civic","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","four",110,"mpfi",3.15,3.58,9,101,5800,24,12945,0.040973630831643,"Standard","honda",8184.69230769231
"43",1,"honda civic (auto)","gas","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","four",110,"2bbl",3.15,3.58,9.1,100,5500,25,10345,0.0436109899694723,"Standard","honda",8184.69230769231
"44",0,"isuzu MU-X","gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","four",111,"2bbl",3.31,3.23,8.5,78,4800,24,6785,0.0333761232349166,"Economy","isuzu",8916.5
"45",1,"isuzu D-Max ","gas","std","two","sedan","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,8916.5,0.0373532550693703,"Standard","isuzu",8916.5
"46",0,"isuzu D-Max V-Cross","gas","std","four","sedan","fwd","front",94.5,155.9,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,8916.5,0.036668412781561,"Standard","isuzu",8916.5
"47",2,"isuzu D-Max ","gas","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","four",119,"spfi",3.43,3.23,9.2,90,5000,24,11048,0.0329188002926116,"Standard","isuzu",8916.5
"48",0,"jaguar xj","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",217,"mpfi",3.63,3.86,8.1,176,4750,15,30055.5,0.0432857845548451,"Luxury","jaguar",30055.5
"49",0,"jaguar xf","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",217,"mpfi",3.63,3.86,8.1,176,4750,15,30055.5,0.0432857845548451,"Luxury","jaguar",30055.5
"50",0,"jaguar xk","gas","std","two","sedan","rwd","front",102,191.7,70.6,47.8,3950,"ohcv","twelve",217,"mpfi",3.54,2.76,10.6,185,5000,13,30055.5,0.0468354430379747,"Luxury","jaguar",30055.5
"51",1,"maxda rx3","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,30,5195,0.035978835978836,"Economy","mazda",10176.1875
"52",1,"maxda glc deluxe","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,6095,0.0357894736842105,"Economy","mazda",10176.1875
"53",1,"mazda rx2 coupe","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,6795,0.0356955380577428,"Economy","mazda",10176.1875
"54",1,"mazda rx-4","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,6695,0.034961439588689,"Economy","mazda",10176.1875
"55",1,"mazda glc deluxe","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","four",91,"2bbl",3.08,3.15,9,68,5000,31,7395,0.0348717948717949,"Economy","mazda",10176.1875
"56",3,"mazda 626","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,10945,0.042436974789916,"Standard","mazda",10176.1875
"57",3,"mazda glc","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,11845,0.042436974789916,"Standard","mazda",10176.1875
"58",3,"mazda rx-7 gs","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2385,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,13645,0.0423480083857442,"Luxury","mazda",10176.1875
"59",3,"mazda glc 4","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2500,"rotor","two",80,"mpfi",3.33,3.255,9.4,135,6000,16,15645,0.054,"Luxury","mazda",10176.1875
"60",1,"mazda 626","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,8845,0.0352201257861635,"Standard","mazda",10176.1875
"61",0,"mazda glc custom l","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,8495,0.0348547717842324,"Standard","mazda",10176.1875
"62",1,"mazda glc custom","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,10595,0.0352201257861635,"Standard","mazda",10176.1875
"63",0,"mazda rx-4","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,10245,0.0348547717842324,"Standard","mazda",10176.1875
"64",0,"mazda glc deluxe","diesel","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2443,"ohc","four",110,"idi",3.39,3.39,10.6,64,4650,36,10795,0.0261972984036021,"Standard","mazda",10176.1875
"65",0,"mazda 626","gas","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,11245,0.034639175257732,"Standard","mazda",10176.1875
"67",0,"mazda rx-7 gs","diesel","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2700,"ohc","four",134,"idi",3.43,3.64,10.6,72,4200,31,18344,0.0266666666666667,"Luxury","mazda",10176.1875
"68",-1,"buick electra 225 custom","diesel","turbo","four","sedan","rwd","front",110,190.9,70.3,56.5,3515,"ohc","five",183,"idi",3.58,3.64,10.6,123,4350,22,25552,0.0349928876244666,"Luxury","buick",28991.6666666667
"70",0,"buick century","diesel","turbo","two","hardtop","rwd","front",106.7,187.5,70.3,54.9,3495,"ohc","five",183,"idi",3.58,3.64,10.6,123,4350,22,28176,0.0351931330472103,"Luxury","buick",28991.6666666667
"71",-1,"buick skyhawk","diesel","turbo","four","sedan","rwd","front",114.25,202.6,71.25,56.3,3770,"ohc","five",183,"idi",3.58,3.64,10.6,123,4350,22,30055.5,0.0326259946949602,"Luxury","buick",28991.6666666667
"72",-1,"buick opel isuzu deluxe","gas","std","four","sedan","rwd","front",114.25,202.6,71.25,56.5,3740,"ohcv","eight",217,"mpfi",3.46,3.1,8.3,155,4750,16,30055.5,0.0414438502673797,"Luxury","buick",28991.6666666667
"73",3,"buick skylark","gas","std","two","convertible","rwd","front",96.6,180.3,70.5,50.8,3685,"ohcv","eight",217,"mpfi",3.46,3.1,8.3,155,4750,16,30055.5,0.0420624151967436,"Luxury","buick",28991.6666666667
"75",1,"buick regal sport coupe (turbo)","gas","std","two","hardtop","rwd","front",112,199.2,71.25,55.4,3715,"ohcv","eight",217,"mpfi",3.8,3.35,8,184,4500,14,30055.5,0.049528936742934,"Luxury","buick",28991.6666666667
"76",1,"mercury cougar","gas","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","four",140,"mpfi",3.78,3.12,8,175,5000,19,16503,0.0601374570446735,"Luxury","mercury",16503
"77",2,"mitsubishi mirage","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,37,5389,0.0354535974973931,"Economy","mitsubishi",9027.18181818182
"78",2,"mitsubishi lancer","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,6189,0.0349794238683128,"Economy","mitsubishi",9027.18181818182
"79",2,"mitsubishi outlander","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,6669,0.0339321357285429,"Economy","mitsubishi",9027.18181818182
"80",1,"mitsubishi g4","gas","turbo","two","hatchback","fwd","front",96.95,157.3,63.8,50.8,2145,"ohc","four",98,"spdi",3.03,3.39,7.6,102,5500,24,7689,0.0475524475524476,"Economy","mitsubishi",9027.18181818182
"81",3,"mitsubishi mirage g4","gas","turbo","two","hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,9959,0.0489451476793249,"Standard","mitsubishi",9027.18181818182
"82",3,"mitsubishi g4","gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,8499,0.0378006872852234,"Standard","mitsubishi",9027.18181818182
"84",3,"mitsubishi g4","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2921,"ohc","four",156,"spdi",3.59,3.86,7.4,145,5000,19,14869,0.0496405340636768,"Luxury","mitsubishi",9027.18181818182
"85",3,"mitsubishi mirage g4","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2926,"ohc","four",156,"spdi",3.59,3.86,7.4,145,5000,19,14489,0.0495557074504443,"Luxury","mitsubishi",9027.18181818182
"86",1,"mitsubishi montero","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,6989,0.0372093023255814,"Economy","mitsubishi",9027.18181818182
"88",1,"mitsubishi outlander","gas","turbo","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,9279,0.0482729920932168,"Standard","mitsubishi",9027.18181818182
"89",-1,"mitsubishi mirage g4","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,9279,0.0482729920932168,"Standard","mitsubishi",9027.18181818182
"90",1,"Nissan versa","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1889,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,5499,0.0365272631021705,"Economy","nissan",10633.375
"91",1,"nissan gt-r","diesel","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,2017,"ohc","four",103,"idi",2.99,3.47,10.6,55,4800,45,7099,0.0272682201289043,"Economy","nissan",10633.375
"92",1,"nissan rogue","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1918,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,6649,0.0359749739311783,"Economy","nissan",10633.375
"93",1,"nissan latio","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1938,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,6849,0.0356037151702786,"Economy","nissan",10633.375
"94",1,"nissan titan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,7349,0.0340909090909091,"Economy","nissan",10633.375
"95",1,"nissan leaf","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,7299,0.035366478728857,"Economy","nissan",10633.375
"97",1,"nissan latio","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1971,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,7499,0.0350076103500761,"Economy","nissan",10633.375
"98",1,"nissan note","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,7999,0.0338733431516937,"Economy","nissan",10633.375
"99",2,"nissan clipper","gas","std","two","hardtop","fwd","front",95.1,162.4,63.8,53.3,2008,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,8249,0.0343625498007968,"Standard","nissan",10633.375
"100",0,"nissan rogue","gas","std","four","hatchback","fwd","front",97.2,173.4,65.2,54.7,2324,"ohc","four",120,"2bbl",3.33,3.47,8.5,97,5200,27,8949,0.0417383820998279,"Standard","nissan",10633.375
"102",0,"nissan dayz","gas","std","four","sedan","fwd","front",100.4,181.7,66.5,55.1,3095,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,13499,0.0491114701130856,"Standard","nissan",10633.375
"103",0,"nissan fuga","gas","std","four","wagon","fwd","front",100.4,184.6,66.5,56.1,3296,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,14399,0.0461165048543689,"Luxury","nissan",10633.375
"104",0,"nissan otti","gas","std","four","sedan","fwd","front",100.4,184.6,66.5,55.1,3060,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,19,13499,0.0496732026143791,"Standard","nissan",10633.375
"105",3,"nissan teana","gas","std","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3071,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,17199,0.0521002930641485,"Luxury","nissan",10633.375
"106",3,"nissan kicks","gas","turbo","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3139,"ohcv","six",181,"mpfi",3.43,3.27,7.8,185,5200,17,19699,0.0589359668684294,"Luxury","nissan",10633.375
"107",1,"nissan clipper","gas","std","two","hatchback","rwd","front",99.2,178.5,67.9,49.7,3139,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,18399,0.0509716470213444,"Luxury","nissan",10633.375
"108",0,"peugeot 504","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3020,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,11900,0.0321192052980132,"Standard","peugeot",13981.8181818182
"109",0,"peugeot 304","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3197,"l","four",152,"idi",3.7,3.52,10.6,95,4150,28,13200,0.029715358148264,"Standard","peugeot",13981.8181818182
"110",0,"peugeot 504 (sw)","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3230,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,12440,0.030030959752322,"Standard","peugeot",13981.8181818182
"111",0,"peugeot 504","diesel","turbo","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3430,"l","four",152,"idi",3.7,3.52,10.6,95,4150,25,13860,0.0276967930029155,"Luxury","peugeot",13981.8181818182
"112",0,"peugeot 504","unknown","std","four","flyingcar","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",25,"mpfi",3.46,2.66,10.6,1,5000,19,-1000,0.00032520325203252,"Economy","peugeot",13981.8181818182
"113",0,"peugeot 604sl","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3252,"l","four",152,"idi",3.7,3.52,10.6,95,4150,28,16900,0.0292127921279213,"Luxury","peugeot",13981.8181818182
"114",0,"peugeot 504","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,56.7,3285,"l","four",120,"mpfi",3.46,2.66,8.4,95,5000,19,16695,0.0289193302891933,"Luxury","peugeot",13981.8181818182
"115",0,"peugeot 505s turbo diesel","diesel","turbo","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3485,"l","four",152,"idi",3.7,3.52,10.6,95,4150,25,17075,0.0272596843615495,"Luxury","peugeot",13981.8181818182
"116",0,"peugeot 504","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,16630,0.0315447154471545,"Luxury","peugeot",13981.8181818182
"117",0,"peugeot 504","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3252,"l","four",152,"idi",3.7,3.52,10.6,95,4150,28,17950,0.0292127921279213,"Luxury","peugeot",13981.8181818182
"118",0,"peugeot 604sl","gas","turbo","four","sedan","rwd","front",108,186.7,68.3,56,3130,"l","four",134,"mpfi",3.61,3.21,7.4,142,5600,18,18150,0.0453674121405751,"Luxury","peugeot",13981.8181818182
"119",1,"plymouth fury iii","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1918,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,37,5572,0.0354535974973931,"Economy","plymouth",7963.42857142857
"120",1,"plymouth cricket","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"spdi",3.03,3.39,7.6,102,5500,24,7957,0.0479323308270677,"Economy","plymouth",7963.42857142857
"121",1,"plymouth fury iii","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,6229,0.0345704117946111,"Economy","plymouth",7963.42857142857
"122",1,"plymouth satellite custom (sw)","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,6692,0.0341880341880342,"Economy","plymouth",7963.42857142857
"123",1,"plymouth fury gran sedan","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,2191,"ohc","four",98,"2bbl",2.97,3.23,9.4,68,5500,31,7609,0.031036056595162,"Economy","plymouth",7963.42857142857
"124",-1,"plymouth valiant","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,24,8921,0.0347140039447732,"Standard","plymouth",7963.42857142857
"125",3,"plymouth duster","gas","turbo","two","hatchback","rwd","front",95.9,173.2,66.3,50.2,2818,"ohc","four",156,"spdi",3.59,3.86,7.4,145,5000,19,12764,0.0514549325762952,"Standard","plymouth",7963.42857142857
"126",3,"porsche macan","gas","std","two","hatchback","rwd","front",94.5,168.9,68.3,50.2,2778,"ohc","four",151,"mpfi",3.94,3.11,9.5,143,5500,19,22018,0.0514758819294456,"Luxury","porsche",28448
"127",3,"porcshce panamera","gas","std","two","hardtop","rwd","rear",89.5,168.9,65,51.6,2756,"ohcf","six",194,"mpfi",3.74,2.9,9.5,185,5900,17,30055.5,0.0671262699564586,"Luxury","porsche",28448
"128",3,"porsche cayenne","gas","std","two","hardtop","rwd","rear",89.5,168.9,65,51.6,2756,"ohcf","six",194,"mpfi",3.74,2.9,9.5,185,5900,17,30055.5,0.0671262699564586,"Luxury","porsche",28448
"129",3,"porsche boxter","gas","std","two","convertible","rwd","rear",89.5,168.9,65,51.6,2800,"ohcf","six",194,"mpfi",3.31,2.9,9.5,185,5900,17,30055.5,0.0660714285714286,"Luxury","porsche",28448
"130",1,"porsche cayenne","gas","std","two","hatchback","rwd","front",98.4,175.7,71.25,50.5,3366,"dohcv","eight",203,"mpfi",3.94,3.11,10,185,5750,17,30055.5,0.0549613784907903,"Luxury","porsche",28448
"131",0,"renault 12tl","gas","std","four","wagon","fwd","front",96.1,181.5,66.5,55.2,2579,"ohc","four",132,"mpfi",3.46,3.86,8.7,90,5100,23,9295,0.0348972469949593,"Standard","renault",9595
