"car_ID","symboling","CarName","fueltype","aspiration","doornumber","carbody","drivewheel","enginelocation","wheelbase","carlength","carwidth","carheight","curbweight","enginetype","cylindernumber","enginesize","fuelsystem","boreratio","stroke","compressionratio","horsepower","peakrpm","citympg","highwaympg","price","CarBrand","BrandAvgPrice","engine_efficiency","is_luxury","fuel_economy_score","car_age"
"45",1,"isuzu D-Max ","gas","std","two","sedan","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5,"isuzu",8916.5,0.777777777777778,"No",40.5,4
"46",0,"isuzu D-Max V-Cross","gas","std","four","sedan","fwd","front",94.5,155.9,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,8916.5,"isuzu",8916.5,0.777777777777778,"No",40.5,4
"47",2,"isuzu D-Max ","gas","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","four",119,"spfi",3.43,3.23,9.2,90,5000,24,29,11048,"isuzu",8916.5,0.756302521008403,"No",26.5,4
"48",0,"jaguar xj","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",217,"mpfi",3.63,3.86,8.1,176,4750,15,19,30055.5,"jaguar",30055.5,0.811059907834101,"Yes",17,4
"49",0,"jaguar xf","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",217,"mpfi",3.63,3.86,8.1,176,4750,15,19,30055.5,"jaguar",30055.5,0.811059907834101,"Yes",17,4
"50",0,"jaguar xk","gas","std","two","sedan","rwd","front",102,191.7,70.6,47.8,3950,"ohcv","twelve",217,"mpfi",3.54,2.76,10.6,185,5000,13,17,30055.5,"jaguar",30055.5,0.852534562211982,"Yes",15,4
"51",1,"maxda rx3","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,30,31,5195,"mazda",10176.1875,0.747252747252747,"No",30.5,4
"52",1,"maxda glc deluxe","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6095,"mazda",10176.1875,0.747252747252747,"No",34.5,4
"53",1,"mazda rx2 coupe","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6795,"mazda",10176.1875,0.747252747252747,"No",34.5,4
"54",1,"mazda rx-4","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6695,"mazda",10176.1875,0.747252747252747,"No",34.5,4
"55",1,"mazda glc deluxe","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","four",91,"2bbl",3.08,3.15,9,68,5000,31,38,7395,"mazda",10176.1875,0.747252747252747,"No",34.5,4
"56",3,"mazda 626","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,10945,"mazda",10176.1875,1.44285714285714,"No",20,4
"57",3,"mazda glc","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,11845,"mazda",10176.1875,1.44285714285714,"No",20,4
"58",3,"mazda rx-7 gs","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2385,"rotor","two",70,"4bbl",3.33,3.255,9.4,101,6000,17,23,13645,"mazda",10176.1875,1.44285714285714,"No",20,4
"59",3,"mazda glc 4","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2500,"rotor","two",80,"mpfi",3.33,3.255,9.4,135,6000,16,23,15645,"mazda",10176.1875,1.6875,"No",19.5,4
"60",1,"mazda 626","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8845,"mazda",10176.1875,0.688524590163934,"No",29,4
"61",0,"mazda glc custom l","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8495,"mazda",10176.1875,0.688524590163934,"No",29,4
"62",1,"mazda glc custom","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10595,"mazda",10176.1875,0.688524590163934,"No",29,4
"63",0,"mazda rx-4","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10245,"mazda",10176.1875,0.688524590163934,"No",29,4
"64",0,"mazda glc deluxe","diesel","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2443,"ohc","four",110,"idi",3.39,3.39,10.6,64,4650,36,42,10795,"mazda",10176.1875,0.581818181818182,"No",39,4
"65",0,"mazda 626","gas","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,11245,"mazda",10176.1875,0.688524590163934,"No",29,4
"67",0,"mazda rx-7 gs","diesel","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2700,"ohc","four",134,"idi",3.43,3.64,10.6,72,4200,31,39,18344,"mazda",10176.1875,0.537313432835821,"No",35,4
"68",-1,"buick electra 225 custom","diesel","turbo","four","sedan","rwd","front",110,190.9,70.3,56.5,3515,"ohc","five",183,"idi",3.58,3.64,10.6,123,4350,22,25,25552,"buick",28991.6666666667,0.672131147540984,"Yes",23.5,4
"70",0,"buick century","diesel","turbo","two","hardtop","rwd","front",106.7,187.5,70.3,54.9,3495,"ohc","five",183,"idi",3.58,3.64,10.6,123,4350,22,25,28176,"buick",28991.6666666667,0.672131147540984,"Yes",23.5,4
"71",-1,"buick skyhawk","diesel","turbo","four","sedan","rwd","front",114.25,202.6,71.25,56.3,3770,"ohc","five",183,"idi",3.58,3.64,10.6,123,4350,22,25,30055.5,"buick",28991.6666666667,0.672131147540984,"Yes",23.5,4
"72",-1,"buick opel isuzu deluxe","gas","std","four","sedan","rwd","front",114.25,202.6,71.25,56.5,3740,"ohcv","eight",217,"mpfi",3.46,3.1,8.3,155,4750,16,18,30055.5,"buick",28991.6666666667,0.714285714285714,"Yes",17,4
"73",3,"buick skylark","gas","std","two","convertible","rwd","front",96.6,180.3,70.5,50.8,3685,"ohcv","eight",217,"mpfi",3.46,3.1,8.3,155,4750,16,18,30055.5,"buick",28991.6666666667,0.714285714285714,"Yes",17,4
"75",1,"buick regal sport coupe (turbo)","gas","std","two","hardtop","rwd","front",112,199.2,71.25,55.4,3715,"ohcv","eight",217,"mpfi",3.8,3.35,8,184,4500,14,16,30055.5,"buick",28991.6666666667,0.847926267281106,"Yes",15,4
"76",1,"mercury cougar","gas","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","four",140,"mpfi",3.78,3.12,8,175,5000,19,24,16503,"mercury",16503,1.25,"No",21.5,4
"77",2,"mitsubishi mirage","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,37,41,5389,"mitsubishi",9027.18181818182,0.739130434782609,"No",39,4
"78",2,"mitsubishi lancer","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6189,"mitsubishi",9027.18181818182,0.739130434782609,"No",34.5,4
"79",2,"mitsubishi outlander","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6669,"mitsubishi",9027.18181818182,0.739130434782609,"No",34.5,4
"80",1,"mitsubishi g4","gas","turbo","two","hatchback","fwd","front",96.95,157.3,63.8,50.8,2145,"ohc","four",98,"spdi",3.03,3.39,7.6,102,5500,24,30,7689,"mitsubishi",9027.18181818182,1.04081632653061,"No",27,4
"81",3,"mitsubishi mirage g4","gas","turbo","two","hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9959,"mitsubishi",9027.18181818182,1.05454545454545,"No",26.5,4
"82",3,"mitsubishi g4","gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8499,"mitsubishi",9027.18181818182,0.721311475409836,"No",28.5,4
"84",3,"mitsubishi g4","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2921,"ohc","four",156,"spdi",3.59,3.86,7.4,145,5000,19,24,14869,"mitsubishi",9027.18181818182,0.92948717948718,"No",21.5,4
"85",3,"mitsubishi mirage g4","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2926,"ohc","four",156,"spdi",3.59,3.86,7.4,145,5000,19,24,14489,"mitsubishi",9027.18181818182,0.92948717948718,"No",21.5,4
"86",1,"mitsubishi montero","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,6989,"mitsubishi",9027.18181818182,0.721311475409836,"No",28.5,4
"88",1,"mitsubishi outlander","gas","turbo","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9279,"mitsubishi",9027.18181818182,1.05454545454545,"No",26.5,4
"89",-1,"mitsubishi mirage g4","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9279,"mitsubishi",9027.18181818182,1.05454545454545,"No",26.5,4
"90",1,"Nissan versa","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1889,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,5499,"nissan",10633.375,0.711340206185567,"No",34,4
"91",1,"nissan gt-r","diesel","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,2017,"ohc","four",103,"idi",2.99,3.47,10.6,55,4800,45,47.5,7099,"nissan",10633.375,0.533980582524272,"No",46.25,4
"92",1,"nissan rogue","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1918,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6649,"nissan",10633.375,0.711340206185567,"No",34,4
"93",1,"nissan latio","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1938,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6849,"nissan",10633.375,0.711340206185567,"No",34,4
"94",1,"nissan titan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7349,"nissan",10633.375,0.711340206185567,"No",34,4
"95",1,"nissan leaf","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7299,"nissan",10633.375,0.711340206185567,"No",34,4
"97",1,"nissan latio","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1971,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7499,"nissan",10633.375,0.711340206185567,"No",34,4
"98",1,"nissan note","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7999,"nissan",10633.375,0.711340206185567,"No",34,4
"99",2,"nissan clipper","gas","std","two","hardtop","fwd","front",95.1,162.4,63.8,53.3,2008,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,8249,"nissan",10633.375,0.711340206185567,"No",34,4
"100",0,"nissan rogue","gas","std","four","hatchback","fwd","front",97.2,173.4,65.2,54.7,2324,"ohc","four",120,"2bbl",3.33,3.47,8.5,97,5200,27,34,8949,"nissan",10633.375,0.808333333333333,"No",30.5,4
"102",0,"nissan dayz","gas","std","four","sedan","fwd","front",100.4,181.7,66.5,55.1,3095,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,22,13499,"nissan",10633.375,0.839779005524862,"No",19.5,4
"103",0,"nissan fuga","gas","std","four","wagon","fwd","front",100.4,184.6,66.5,56.1,3296,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,22,14399,"nissan",10633.375,0.839779005524862,"No",19.5,4
"104",0,"nissan otti","gas","std","four","sedan","fwd","front",100.4,184.6,66.5,55.1,3060,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,19,25,13499,"nissan",10633.375,0.839779005524862,"No",22,4
"105",3,"nissan teana","gas","std","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3071,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,25,17199,"nissan",10633.375,0.883977900552486,"No",22,4
"106",3,"nissan kicks","gas","turbo","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3139,"ohcv","six",181,"mpfi",3.43,3.27,7.8,185,5200,17,23,19699,"nissan",10633.375,1.02209944751381,"Yes",20,4
"107",1,"nissan clipper","gas","std","two","hatchback","rwd","front",99.2,178.5,67.9,49.7,3139,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,25,18399,"nissan",10633.375,0.883977900552486,"No",22,4
"108",0,"peugeot 504","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3020,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,11900,"peugeot",13981.8181818182,0.808333333333333,"No",21.5,4
"109",0,"peugeot 304","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3197,"l","four",152,"idi",3.7,3.52,10.6,95,4150,28,33,13200,"peugeot",13981.8181818182,0.625,"No",30.5,4
"110",0,"peugeot 504 (sw)","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3230,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,12440,"peugeot",13981.8181818182,0.808333333333333,"No",21.5,4
"111",0,"peugeot 504","diesel","turbo","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3430,"l","four",152,"idi",3.7,3.52,10.6,95,4150,25,25,13860,"peugeot",13981.8181818182,0.625,"No",25,4
"112",0,"peugeot 504","unknown","std","four","flyingcar","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",25,"mpfi",3.46,2.66,10.6,1,5000,19,24,-1000,"peugeot",13981.8181818182,0.04,"No",21.5,4
"113",0,"peugeot 604sl","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3252,"l","four",152,"idi",3.7,3.52,10.6,95,4150,28,33,16900,"peugeot",13981.8181818182,0.625,"No",30.5,4
"114",0,"peugeot 504","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,56.7,3285,"l","four",120,"mpfi",3.46,2.66,8.4,95,5000,19,24,16695,"peugeot",13981.8181818182,0.791666666666667,"No",21.5,4
"115",0,"peugeot 505s turbo diesel","diesel","turbo","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3485,"l","four",152,"idi",3.7,3.52,10.6,95,4150,25,25,17075,"peugeot",13981.8181818182,0.625,"No",25,4
"116",0,"peugeot 504","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,16630,"peugeot",13981.8181818182,0.808333333333333,"No",21.5,4
"117",0,"peugeot 504","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3252,"l","four",152,"idi",3.7,3.52,10.6,95,4150,28,33,17950,"peugeot",13981.8181818182,0.625,"No",30.5,4
"118",0,"peugeot 604sl","gas","turbo","four","sedan","rwd","front",108,186.7,68.3,56,3130,"l","four",134,"mpfi",3.61,3.21,7.4,142,5600,18,24,18150,"peugeot",13981.8181818182,1.05970149253731,"No",21,4
"119",1,"plymouth fury iii","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1918,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,37,41,5572,"plymouth",7963.42857142857,0.755555555555556,"No",39,4
"120",1,"plymouth cricket","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"spdi",3.03,3.39,7.6,102,5500,24,30,7957,"plymouth",7963.42857142857,1.04081632653061,"No",27,4
"121",1,"plymouth fury iii","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,"plymouth",7963.42857142857,0.755555555555556,"No",34.5,4
"122",1,"plymouth satellite custom (sw)","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,"plymouth",7963.42857142857,0.755555555555556,"No",34.5,4
"123",1,"plymouth fury gran sedan","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,2191,"ohc","four",98,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,"plymouth",7963.42857142857,0.693877551020408,"No",34.5,4
"124",-1,"plymouth valiant","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,24,30,8921,"plymouth",7963.42857142857,0.721311475409836,"No",27,4
"125",3,"plymouth duster","gas","turbo","two","hatchback","rwd","front",95.9,173.2,66.3,50.2,2818,"ohc","four",156,"spdi",3.59,3.86,7.4,145,5000,19,24,12764,"plymouth",7963.42857142857,0.92948717948718,"No",21.5,4
"126",3,"porsche macan","gas","std","two","hatchback","rwd","front",94.5,168.9,68.3,50.2,2778,"ohc","four",151,"mpfi",3.94,3.11,9.5,143,5500,19,27,22018,"porsche",28448,0.947019867549669,"Yes",23,4
